文件名,预测类别,置信度,Top2差距,分歧度,风险等级,Top1,Top2,Top3,审核结果,备注
Screen Shot 2018-06-07 at 2.40.13 PM.jpg,褶皱,98.5%,0.977,0.00,LOW,褶皱,合格,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.45.55 PM.jpg,褶皱,98.4%,0.976,0.00,LOW,褶皱,腐烂,虫伤,,
FreshApple (124).jpg,合格,98.4%,0.980,0.00,LOW,合格,黑斑,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.25.26 PM.jpg,虫伤,98.4%,0.975,0.00,LOW,虫伤,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-08 at 2.47.09 PM.jpg,腐烂,98.4%,0.974,0.00,LOW,腐烂,碰伤,褶皱,,
FreshApple (101).jpg,合格,98.4%,0.978,0.00,LOW,合格,黑斑,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.51.16 PM.jpg,褶皱,98.2%,0.975,0.00,LOW,褶皱,腐烂,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 2.57.17 PM.jpg,碰伤,98.2%,0.976,0.00,LOW,碰伤,腐烂,黑斑,,
saltandpepper_Screen Shot 2018-06-08 at 2.53.14 PM.jpg,碰伤,98.1%,0.975,0.00,LOW,碰伤,虫伤,腐烂,,
FreshApple (94).jpg,合格,98.0%,0.967,0.00,LOW,合格,虫伤,黑斑,,
Screen Shot 2018-06-07 at 2.46.04 PM.jpg,褶皱,98.0%,0.972,0.00,LOW,褶皱,黑斑,腐烂,,
Screen Shot 2018-06-08 at 2.47.09 PM.jpg,腐烂,98.0%,0.965,0.00,LOW,腐烂,碰伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.19.46 PM.jpg,碰伤,97.9%,0.971,0.00,LOW,碰伤,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.34.18 PM.jpg,碰伤,97.9%,0.969,0.00,LOW,碰伤,虫伤,合格,,
Screen Shot 2018-06-07 at 2.45.55 PM.jpg,褶皱,97.9%,0.966,0.00,LOW,褶皱,腐烂,虫伤,,
Screen Shot 2018-06-08 at 2.50.33 PM.jpg,腐烂,97.8%,0.968,0.00,LOW,腐烂,碰伤,褶皱,,
FreshApple (96).jpg,合格,97.8%,0.973,0.00,LOW,合格,黑斑,褶皱,,
Screen Shot 2018-06-07 at 2.25.26 PM.jpg,虫伤,97.7%,0.962,0.00,LOW,虫伤,碰伤,裂果,,
FreshApple (24).jpg,合格,97.7%,0.970,0.00,LOW,合格,虫伤,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 2.24.35 PM.jpg,碰伤,97.6%,0.965,0.00,LOW,碰伤,虫伤,合格,,
FreshApple (121).jpg,合格,97.5%,0.969,0.00,LOW,合格,虫伤,褶皱,,
Screen Shot 2018-06-07 at 2.16.41 PM.jpg,褶皱,97.4%,0.963,0.00,LOW,褶皱,腐烂,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.45.55 PM.jpg,褶皱,97.3%,0.961,0.00,LOW,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.51.01 PM.jpg,褶皱,97.2%,0.957,0.00,LOW,褶皱,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.16.41 PM.jpg,褶皱,97.1%,0.960,0.00,LOW,褶皱,虫伤,腐烂,,
FreshApple (119).jpg,合格,97.0%,0.963,0.00,LOW,合格,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.48.43 PM.jpg,碰伤,96.9%,0.956,0.00,LOW,碰伤,虫伤,腐烂,,
FreshApple (95).jpg,合格,96.8%,0.945,0.00,LOW,合格,虫伤,黑斑,,
Screen Shot 2018-06-07 at 3.03.58 PM.jpg,褶皱,96.8%,0.952,0.00,LOW,褶皱,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.36.06 PM.jpg,褶皱,96.8%,0.956,0.00,LOW,褶皱,腐烂,合格,,
Screen Shot 2018-06-07 at 2.46.22 PM.jpg,褶皱,96.6%,0.943,0.00,LOW,褶皱,腐烂,黑斑,,
Screen Shot 2018-06-07 at 2.51.08 PM.jpg,褶皱,96.4%,0.943,0.00,LOW,褶皱,腐烂,黑斑,,
Screen Shot 2018-06-07 at 2.39.26 PM.jpg,黑斑,96.3%,0.952,0.00,LOW,黑斑,碰伤,腐烂,,
Screen Shot 2018-06-08 at 2.39.51 PM.jpg,虫伤,96.1%,0.949,0.00,LOW,虫伤,褶皱,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.41.14 PM.jpg,碰伤,96.1%,0.936,0.00,LOW,碰伤,腐烂,虫伤,,
FreshApple (97).jpg,合格,96.0%,0.946,0.00,LOW,合格,黑斑,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 2.39.26 PM.jpg,黑斑,95.9%,0.945,0.00,LOW,黑斑,碰伤,腐烂,,
FreshApple (98).jpg,合格,95.8%,0.930,0.00,LOW,合格,裂果,黑斑,,
saltandpepper_Screen Shot 2018-06-08 at 2.25.24 PM.jpg,碰伤,95.6%,0.930,0.00,LOW,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-08 at 2.50.38 PM.jpg,腐烂,95.5%,0.932,0.00,LOW,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.06.51 PM.jpg,褶皱,95.5%,0.935,0.00,LOW,褶皱,合格,虫伤,,
Screen Shot 2018-06-07 at 2.50.31 PM.jpg,腐烂,95.4%,0.930,0.00,LOW,腐烂,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.24.46 PM.jpg,褶皱,95.3%,0.933,0.00,LOW,褶皱,合格,黑斑,,
vertical_flip_Screen Shot 2018-06-07 at 2.50.31 PM.jpg,腐烂,95.3%,0.931,0.00,LOW,腐烂,碰伤,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.50.38 PM.jpg,腐烂,95.2%,0.928,0.00,LOW,腐烂,合格,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.45.44 PM.jpg,褶皱,95.2%,0.914,0.00,LOW,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-08 at 2.50.25 PM.jpg,腐烂,95.1%,0.917,0.00,LOW,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.54.41 PM.jpg,褶皱,94.8%,0.930,0.00,LOW,褶皱,碰伤,腐烂,,
FreshApple (110).jpg,合格,94.7%,0.931,0.00,LOW,合格,褶皱,黑斑,,
FreshApple (117).jpg,合格,94.6%,0.930,0.00,LOW,合格,褶皱,黑斑,,
Screen Shot 2018-06-07 at 2.58.17 PM.jpg,褶皱,94.6%,0.905,0.00,LOW,褶皱,虫伤,腐烂,,
Screen Shot 2018-06-07 at 3.04.04 PM.jpg,褶皱,94.5%,0.919,0.00,LOW,褶皱,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.37.32 PM.jpg,褶皱,94.5%,0.929,0.00,LOW,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.50.38 PM.jpg,腐烂,94.4%,0.893,0.00,LOW,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.46.22 PM.jpg,褶皱,94.3%,0.905,0.00,LOW,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.46.04 PM.jpg,褶皱,94.2%,0.927,0.00,LOW,褶皱,黑斑,腐烂,,
Screen Shot 2018-06-08 at 2.43.54 PM.jpg,碰伤,94.2%,0.920,0.00,LOW,碰伤,合格,腐烂,,
Screen Shot 2018-06-08 at 2.40.09 PM.jpg,腐烂,94.0%,0.925,0.00,LOW,腐烂,碰伤,病变,,
vertical_flip_Screen Shot 2018-06-08 at 2.37.03 PM.jpg,虫伤,94.0%,0.913,0.00,LOW,虫伤,褶皱,裂果,,
Screen Shot 2018-06-07 at 2.37.01 PM.jpg,褶皱,94.0%,0.921,0.00,LOW,褶皱,腐烂,合格,,
Screen Shot 2018-06-07 at 2.51.01 PM.jpg,褶皱,94.0%,0.899,0.00,LOW,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.35.38 PM.jpg,褶皱,93.9%,0.910,0.00,LOW,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.25.24 PM.jpg,碰伤,93.8%,0.910,0.00,LOW,碰伤,腐烂,合格,,
Screen Shot 2018-06-08 at 2.53.14 PM.jpg,碰伤,93.7%,0.913,0.00,LOW,碰伤,合格,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.50.25 PM.jpg,腐烂,93.5%,0.900,0.00,LOW,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.03.58 PM.jpg,褶皱,93.5%,0.886,0.00,LOW,褶皱,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.40.55 PM.jpg,碰伤,93.5%,0.904,0.00,LOW,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.57.05 PM.jpg,裂果,93.3%,0.917,0.00,LOW,裂果,病变,腐烂,,
r1_244.jpg,黑斑,93.2%,0.879,0.00,LOW,黑斑,褶皱,腐烂,,
Screen Shot 2018-06-07 at 2.56.16 PM.jpg,腐烂,93.2%,0.900,0.00,LOW,腐烂,碰伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.57.26 PM.jpg,碰伤,93.2%,0.909,0.00,LOW,碰伤,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.15.50 PM.jpg,裂果,93.1%,0.915,0.00,LOW,裂果,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.56.47 PM.jpg,褶皱,93.1%,0.903,0.00,LOW,褶皱,黑斑,裂果,,
Screen Shot 2018-06-08 at 2.24.46 PM.jpg,褶皱,92.8%,0.898,0.00,LOW,褶皱,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.56.16 PM.jpg,腐烂,92.8%,0.901,0.00,LOW,腐烂,碰伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 3.04.24 PM.jpg,褶皱,92.7%,0.899,0.00,LOW,褶皱,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.46.44 PM.jpg,碰伤,92.5%,0.908,0.00,LOW,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.27.44 PM.jpg,碰伤,92.5%,0.882,0.00,LOW,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-07 at 2.57.05 PM.jpg,裂果,92.3%,0.907,0.00,LOW,裂果,病变,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.40.09 PM.jpg,腐烂,92.3%,0.906,0.00,LOW,腐烂,碰伤,病变,,
Screen Shot 2018-06-07 at 2.37.32 PM.jpg,褶皱,92.3%,0.898,0.00,LOW,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.35.38 PM.jpg,褶皱,92.2%,0.885,0.00,LOW,褶皱,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.02.09 PM.jpg,碰伤,92.2%,0.895,0.00,LOW,碰伤,裂果,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.48.43 PM.jpg,碰伤,92.1%,0.877,0.00,LOW,碰伤,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.54.58 PM.jpg,褶皱,92.0%,0.878,0.00,LOW,褶皱,合格,虫伤,,
Screen Shot 2018-06-07 at 2.58.04 PM.jpg,黑斑,92.0%,0.884,0.00,LOW,黑斑,虫伤,褶皱,,
Screen Shot 2018-06-08 at 2.41.44 PM.jpg,虫伤,91.6%,0.864,0.00,LOW,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.45.35 PM.jpg,褶皱,91.2%,0.882,0.00,LOW,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.50.31 PM.jpg,腐烂,91.1%,0.834,0.00,LOW,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.23.40 PM.jpg,褶皱,91.1%,0.854,0.00,LOW,褶皱,虫伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.58.04 PM.jpg,黑斑,90.7%,0.869,0.00,LOW,黑斑,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.40.09 PM.jpg,腐烂,90.6%,0.860,0.00,LOW,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.03.58 PM.jpg,褶皱,90.6%,0.880,0.00,LOW,褶皱,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.48.29 PM.jpg,褶皱,90.5%,0.866,0.00,LOW,褶皱,合格,黑斑,,
saltandpepper_Screen Shot 2018-06-08 at 2.47.09 PM.jpg,腐烂,90.3%,0.809,0.00,LOW,腐烂,碰伤,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.43.54 PM.jpg,虫伤,90.3%,0.861,0.00,LOW,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.26.55 PM.jpg,碰伤,90.1%,0.877,0.00,LOW,碰伤,腐烂,裂果,,
Screen Shot 2018-06-07 at 3.04.10 PM.jpg,褶皱,89.9%,0.805,0.00,LOW,褶皱,虫伤,腐烂,,
Screen Shot 2018-06-08 at 2.25.24 PM.jpg,碰伤,89.9%,0.843,0.00,LOW,碰伤,腐烂,虫伤,,
Screen Shot 2018-06-07 at 3.02.09 PM.jpg,碰伤,89.9%,0.876,0.00,LOW,碰伤,虫伤,腐烂,,
r1_122.jpg,褶皱,89.8%,0.863,0.00,LOW,褶皱,虫伤,裂果,,
Screen Shot 2018-06-08 at 2.37.03 PM.jpg,虫伤,89.8%,0.860,0.00,LOW,虫伤,裂果,褶皱,,
vertical_flip_Screen Shot 2018-06-07 at 3.02.09 PM.jpg,碰伤,89.8%,0.861,0.00,LOW,碰伤,腐烂,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.57.26 PM.jpg,碰伤,89.7%,0.839,0.00,LOW,碰伤,腐烂,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.39.51 PM.jpg,虫伤,89.6%,0.842,0.00,LOW,虫伤,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.43.54 PM.jpg,碰伤,89.6%,0.862,0.00,LOW,碰伤,合格,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.36.55 PM.jpg,腐烂,89.1%,0.836,0.00,LOW,腐烂,褶皱,合格,,
vertical_flip_Screen Shot 2018-06-07 at 3.03.46 PM.jpg,腐烂,89.0%,0.837,0.00,LOW,腐烂,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.23.02 PM.jpg,黑斑,88.9%,0.857,0.00,LOW,黑斑,碰伤,裂果,,
vertical_flip_Screen Shot 2018-06-07 at 3.05.58 PM.jpg,褶皱,88.8%,0.842,0.00,LOW,褶皱,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.52.30 PM.jpg,腐烂,88.7%,0.860,0.00,LOW,腐烂,合格,褶皱,,
Screen Shot 2018-06-07 at 2.54.58 PM.jpg,褶皱,88.7%,0.811,0.00,LOW,褶皱,合格,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.36.06 PM.jpg,褶皱,88.6%,0.816,0.00,LOW,褶皱,腐烂,碰伤,,
Screen Shot 2018-06-07 at 2.57.26 PM.jpg,碰伤,88.6%,0.832,0.00,LOW,碰伤,腐烂,合格,,
Screen Shot 2018-06-07 at 3.03.46 PM.jpg,腐烂,88.4%,0.817,0.00,LOW,腐烂,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 3.03.46 PM.jpg,腐烂,88.4%,0.850,0.00,LOW,腐烂,合格,褶皱,,
Screen Shot 2018-06-08 at 2.36.55 PM.jpg,腐烂,88.3%,0.829,0.00,LOW,腐烂,褶皱,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.48.00 PM.jpg,褶皱,88.3%,0.830,0.00,LOW,褶皱,黑斑,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.31.45 PM.jpg,碰伤,88.3%,0.842,0.00,LOW,碰伤,虫伤,裂果,,
Screen Shot 2018-06-08 at 2.41.39 PM.jpg,虫伤,88.2%,0.810,0.00,LOW,虫伤,碰伤,腐烂,,
Screen Shot 2018-06-07 at 2.23.40 PM.jpg,褶皱,88.1%,0.817,0.00,LOW,褶皱,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.45.44 PM.jpg,黑斑,88.0%,0.851,0.00,LOW,黑斑,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.50.25 PM.jpg,腐烂,88.0%,0.806,0.00,LOW,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.46.52 PM.jpg,褶皱,87.8%,0.814,0.00,LOW,褶皱,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.30.26 PM.jpg,碰伤,87.8%,0.844,0.00,LOW,碰伤,裂果,合格,,
saltandpepper_Screen Shot 2018-06-08 at 2.48.29 PM.jpg,褶皱,87.5%,0.819,0.00,LOW,褶皱,合格,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 3.06.11 PM.jpg,碰伤,87.4%,0.807,0.00,LOW,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.19.46 PM.jpg,碰伤,87.4%,0.804,0.00,LOW,碰伤,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.34.05 PM.jpg,黑斑,86.7%,0.809,0.00,LOW,黑斑,虫伤,合格,,
Screen Shot 2018-06-07 at 3.03.02 PM.jpg,腐烂,86.5%,0.812,0.00,LOW,腐烂,碰伤,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.56.16 PM.jpg,腐烂,86.2%,0.742,0.00,LOW,腐烂,碰伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.43.54 PM.jpg,虫伤,85.8%,0.773,0.00,LOW,虫伤,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 2.41.07 PM.jpg,碰伤,85.7%,0.749,0.00,LOW,碰伤,虫伤,腐烂,,
Screen Shot 2018-06-07 at 2.36.21 PM.jpg,褶皱,85.6%,0.793,0.00,LOW,褶皱,黑斑,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.18.25 PM.jpg,褶皱,85.5%,0.768,0.00,LOW,褶皱,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.47.35 PM.jpg,褶皱,85.5%,0.796,0.00,LOW,褶皱,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.46.32 PM.jpg,碰伤,85.2%,0.810,0.00,LOW,碰伤,合格,腐烂,,
Screen Shot 2018-06-08 at 2.49.40 PM.jpg,腐烂,84.8%,0.776,0.00,LOW,腐烂,碰伤,虫伤,,
Screen Shot 2018-06-07 at 2.55.52 PM.jpg,黑斑,84.7%,0.788,0.00,LOW,黑斑,褶皱,碰伤,,
Screen Shot 2018-06-07 at 3.04.24 PM.jpg,褶皱,84.6%,0.788,0.00,LOW,褶皱,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.31.43 PM.jpg,褶皱,84.1%,0.755,0.00,LOW,褶皱,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.56.57 PM.jpg,碰伤,83.9%,0.781,0.00,LOW,碰伤,裂果,腐烂,,
Screen Shot 2018-06-08 at 2.37.24 PM.jpg,合格,83.4%,0.753,0.00,LOW,合格,褶皱,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 3.00.00 PM.jpg,黑斑,83.2%,0.736,0.00,LOW,黑斑,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-07 at 3.04.04 PM.jpg,褶皱,83.1%,0.748,0.00,LOW,褶皱,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.55.52 PM.jpg,黑斑,82.9%,0.758,0.00,LOW,黑斑,碰伤,合格,,
Screen Shot 2018-06-08 at 2.34.05 PM.jpg,黑斑,82.8%,0.761,0.00,LOW,黑斑,合格,虫伤,,
Screen Shot 2018-06-07 at 2.58.38 PM.jpg,腐烂,82.8%,0.714,0.00,LOW,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-08 at 2.48.43 PM.jpg,碰伤,82.5%,0.703,0.00,LOW,碰伤,虫伤,合格,,
Screen Shot 2018-06-07 at 2.31.43 PM.jpg,褶皱,82.4%,0.737,0.00,LOW,褶皱,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-08 at 2.40.46 PM.jpg,黑斑,82.3%,0.745,0.00,LOW,黑斑,碰伤,腐烂,,
saltandpepper_Screen Shot 2018-06-08 at 2.24.46 PM.jpg,褶皱,81.2%,0.738,0.00,LOW,褶皱,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 3.03.02 PM.jpg,腐烂,81.2%,0.749,0.00,LOW,腐烂,裂果,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.40.13 PM.jpg,碰伤,81.1%,0.701,0.00,LOW,碰伤,腐烂,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.24.47 PM.jpg,黑斑,81.0%,0.741,0.00,LOW,黑斑,合格,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.28.23 PM.jpg,碰伤,80.8%,0.730,0.00,LOW,碰伤,腐烂,裂果,,
saltandpepper_Screen Shot 2018-06-08 at 2.41.54 PM.jpg,碰伤,79.9%,0.722,0.00,LOW,碰伤,黑斑,虫伤,,
Screen Shot 2018-06-07 at 2.21.09 PM.jpg,褶皱,79.2%,0.725,0.00,LOW,褶皱,黑斑,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.49.40 PM.jpg,腐烂,79.2%,0.653,0.00,LOW,腐烂,碰伤,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.58.17 PM.jpg,褶皱,78.9%,0.732,0.00,LOW,褶皱,黑斑,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.58.38 PM.jpg,腐烂,78.9%,0.661,0.00,LOW,腐烂,虫伤,病变,,
vertical_flip_Screen Shot 2018-06-07 at 2.46.52 PM.jpg,褶皱,78.4%,0.641,0.00,LOW,褶皱,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-07 at 2.21.09 PM.jpg,褶皱,78.4%,0.674,0.00,LOW,褶皱,黑斑,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.35.21 PM.jpg,黑斑,78.3%,0.696,0.00,LOW,黑斑,碰伤,病变,,
vertical_flip_Screen Shot 2018-06-08 at 2.27.15 PM.jpg,褶皱,77.8%,0.635,0.00,LOW,褶皱,合格,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.58.30 PM.jpg,碰伤,77.8%,0.698,0.00,LOW,碰伤,黑斑,腐烂,,
Screen Shot 2018-06-07 at 2.59.38 PM.jpg,腐烂,77.7%,0.617,0.00,LOW,腐烂,褶皱,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.29.33 PM.jpg,碰伤,77.4%,0.704,0.00,LOW,碰伤,裂果,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 2.43.48 PM.jpg,腐烂,76.9%,0.663,0.00,LOW,腐烂,虫伤,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.49.27 PM.jpg,碰伤,76.5%,0.616,0.00,LOW,碰伤,腐烂,裂果,,
saltandpepper_Screen Shot 2018-06-07 at 3.04.24 PM.jpg,褶皱,76.4%,0.676,0.00,LOW,褶皱,碰伤,黑斑,,
Screen Shot 2018-06-07 at 3.00.56 PM.jpg,合格,76.3%,0.701,0.00,LOW,合格,褶皱,黑斑,,
saltandpepper_Screen Shot 2018-06-07 at 2.46.52 PM.jpg,褶皱,75.4%,0.642,0.00,LOW,褶皱,虫伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.25.43 PM.jpg,褶皱,74.6%,0.625,0.00,LOW,褶皱,虫伤,合格,,
saltandpepper_Screen Shot 2018-06-07 at 2.18.25 PM.jpg,褶皱,74.3%,0.667,0.00,LOW,褶皱,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 3.00.56 PM.jpg,合格,74.2%,0.638,0.00,LOW,合格,虫伤,褶皱,,
saltandpepper_Screen Shot 2018-06-07 at 3.06.30 PM.jpg,碰伤,73.4%,0.652,0.00,LOW,碰伤,合格,虫伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.44.51 PM.jpg,褶皱,72.6%,0.510,0.00,LOW,褶皱,合格,碰伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.24.31 PM.jpg,碰伤,71.7%,0.591,0.00,LOW,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-08 at 2.30.40 PM.jpg,碰伤,71.5%,0.610,0.00,LOW,碰伤,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.53.57 PM.jpg,碰伤,70.8%,0.604,0.00,LOW,碰伤,褶皱,合格,,
Screen Shot 2018-06-08 at 2.24.09 PM.jpg,褶皱,70.8%,0.501,0.00,LOW,褶皱,虫伤,合格,,
Screen Shot 2018-06-07 at 2.57.17 PM.jpg,碰伤,70.2%,0.571,0.00,LOW,碰伤,合格,褶皱,,
